Sr. No.,Scrip Code,Name of Company,,
312,500870,Castrol India Ltd,,
313,540935,Galaxy Surfactants Limited,,
314,502986,Vardhman Textiles Limted,,
315,532210,City Union Bank Ltd,,
316,500252,"Lakshmi Machine Works Ltd.,",,
317,532714,KEC International Ltd.,,
318,543534,Aether Industries Limited,,
319,513599,Hindustan Copper Ltd.,,
320,543427,Medplus Health Services Limited,,
321,543308,Krishna Institute of Medical Sciences Limited,,
322,530999,Balaji Amines Ltd.,,
323,531335,Zydus Wellness Limited,,
324,543238,UTI Asset Management Company Limited,,
325,532368,BRIGHTCOM GROUP LIMITED,,
326,532670,Shree Renuka Sugars Ltd.,,
327,513683,NLC India Limited,,
328,500067,Blue Star Ltd,,
329,500084,"CESC Limited,",,
330,540743,Godrej Agrovet Limited,,
331,540975,Aster DM Healthcare Limited,,
332,540902,Amber Enterprises India Limited,,
333,532953,V-Guard Industries Ltd.,,
334,523610,ITI Limited (Indian Teleph.Ind.Ltd),,
335,543277,Laxmi Organic Industries Limited,,
336,538835,INTELLECT DESIGN ARENA LIMITED,,
337,500183,HFCL LIMITED,,
338,540596,Eris Lifesciences Limited,,
339,532175,Cyient Limited,,
340,539978,Quess Corp Limited,,
341,500940,Finolex Industries Ltd.,,
342,542650,Metropolis Healthcare Limited,,
343,500040,"Century Textiles & Industries Ltd.,",,
344,533295,PUNJAB & SIND BANK,,
345,500125,"E.I.D. Parry (India) Ltd.,",,
346,543228,Route Mobile Limited,,
347,500840,EIH Ltd,,
348,534076,RHI MAGNESITA INDIA LIMITED,,
349,532659,IDFC LIMITED,,
350,507880,"V.I.P. Industries Ltd.,",,
351,509488,Graphite India Ltd.,,
352,500008,Amara Raja Batteries Ltd,,
353,531213,Manappuram Finance Limited,,
354,532800,TV18 Broadcast Ltd.,,
355,500710,Akzo Nobel India Limited,,
356,500038,Balrampur Chini Mills Ltd.,,
357,543272,Easy Trip Planners Limited,,
358,532756,Mahindra CIE Automotive Limited,,
359,502219,BOROSIL RENEWABLES LIMITED,,
360,500405,Supreme Petrochem Ltd.,,
361,543336,Chemplast Sanmar Limited,,
362,532667,SUZLON ENERGY LTD.,,
363,532163,Saregama India Ltd.,,
364,520056,Sundaram Clayton Ltd.,,
365,543299,Shyam Metalics and Energy Limited,,
366,532798,Network 18 Media & Investments Limited,,
367,500645,Deepak Fertilizers &Petrochemicals,,
368,532809,Firstsource Solutions Ltd.,,
369,543398,Latent View Analytics Limited,,
370,500003,Aegis Logistics Ltd.,,
371,505533,Westlife Development Ltd,,
372,532749,Allcargo Logistics Ltd,,
373,543271,Jubilant Ingrevia Limited,,
374,539957,Mahanagar Gas Limited,,
375,500335,Birla Corporation Ltd.,,
376,543275,Anupam Rasayan India Limited,,
377,531768,Poly Medicure Ltd,,
378,543425,C.E. Info Systems Limited,,
379,532221,Sonata Software Ltd.,,
380,543397,Sapphire Foods India Limited,,
381,532927,eClerx Services Limited,,
382,523704,Mastek Limited,,
383,532508,Jindal Stainless Limited,,
384,532942,KNR Constructions Limited,,
385,543258,Indigo Paints Limited,,
386,524051,"Polyplex Corporation Ltd.,",,
387,511196,"Can Fin Homes Ltd.,",,
388,514162,Welspun India Ltd,,
389,501301,"Tata Investment Corporation Ltd.,",,
390,543482,Eureka Forbes Limited,,
391,532482,Granules India Ltd.,,
392,500126,PROCTER & GAMBLE HEALTH LIMITED,,
393,540530,Housing &Urban Development Corporation Ltd.,,
394,506820,AstraZeneca Pharma India Ltd.,,
395,532468,Kama Holdings Limited,,
396,517385,Symphony Limited,,
397,542907,Prince Pipes and Fittings Limited,,
398,512179,Sunteck Realty Ltd,,
399,540673,SIS LIMITED,,
400,532374,Sterlite Technologies Limited.,,
401,522205,Praj Industries Ltd.,,
402,543259,Home First Finance Company India Limited,,
403,534091,Multi Commodity Exchange of India Ltd,,
404,504067,Zensar Technologies Ltd.,,
405,542649,Rail Vikas Nigam Limited,,
406,532356,Triveni Engineering & Industries Ltd,,
407,524226,Gujarat Ambuja Exports Ltd.,,
408,539597,Jindal Stainless (Hisar) Limited,,
409,540065,RBL Bank Limited,,
410,540212,TCI Express Limited,,
411,543278,Kalyan Jewellers India Limited,,
412,501425,"Bombay Burmah Trading Corpn. Ltd.,",,
413,505255,GMM Pfaudler Ltd.,,
414,532872,Sun Pharma Advanced Research Company Ltd.,,
415,539150,PNC Infratech Limited,,
416,513377,"MMTC Ltd.,",,
417,540595,Tejas Networks Limited,,
418,530019,JUBILANT PHARMOVA LIMITED,,
419,509557,GARWARE TECHNICAL FIBRES LIMITED,,
420,542399,Chalet Hotels Limited,,
421,500048,BEML Ltd,,
422,534597,RATTANINDIA ENTERPRISES LIMITED,,
423,541301,Orient Electric Limited,,
424,523405,JM Financial Limited,,
425,534309,NBCC (India) Limited,,
426,539542,LUX Industries Limited,,
427,532848,Delta Corp Limited,,
428,500304,"NIIT Ltd.,",,
429,541556,RITES Limited,,
430,500690,Gujarat State Fertilizers & Chem.Ltd,,
431,534976,V-Mart Retail Limited,,
432,539658,TeamLease Services Limited,,
433,532706,Inox Leisure Limited,,
434,540173,PNB Housing Finance Limited,,
435,542857,Greenpanel Industries Limited,,
436,500144,"Finolex Cables Ltd.,",,
437,532784,Sobha Limited,,
438,512573,Avanti Feeds ltd.,,
439,535789,INDIABULLS HOUSING FINANCE LIMITED,,
440,532313,Mahindra Lifespace Developers Ltd.,,
441,542760,STERLING AND WILSON RENEWABLE ENERGY LIMITED,,
442,512455,Lloyds Metals and Energy Limited,,
443,500620,"Great Eastern Shipping Co. Ltd.,",,
444,532156,Vaibhav Global Ltd,,
445,503310,Swan Energy Ltd.,,
446,543243,Equitas Small Finance Bank Limited,,
447,500330,Raymond Limited,,
448,530001,"Gujarat Alkalis & Chemicals Ltd.,",,
449,500163,"Godfrey Phillips India Ltd.,",,
450,533655,Triveni Turbine Limited,,
451,530005,"India Cements Ltd.,",,
452,500339,Rain Industries Limited,,
453,500338,PRISM JOHNSON LIMITED.,,
454,532926,JYOTHY LABS LIMITED,,
455,532443,Cera Sanitaryware Ltd.,,
456,530117,PRIVI SPECIALITY CHEMICALS LIMITED,,
457,500171,GHCL Ltd.,,
458,535648,Just Dial Limited,,
459,522215,HLE GLASCOAT LIMITED,,
460,532029,Sindhu Trade Links Limited,,
461,524742,Caplin Point Laboratories Ltd.,,
462,532162,JK Paper Ltd.,,
463,543322,Glenmark Life Sciences Limited,,
464,543237,Mazagon Dock Shipbuilders Limited,,
465,543573,Syrma SGS Technology Limited,,
466,538666,Sharda Cropchem Limited,,
467,530813,KRBL Ltd.,,
468,522287,Kalpataru Power Transmission Ltd.,,
469,543401,Go Fashion (India) Limited,,
470,532638,Shoppers Stop Ltd,,
471,543248,Restaurant Brands Asia Limited,,
472,543284,EKI Energy Services Limited,,
473,532605,JBM Auto Limited,,
474,538566,APOLLO TRICOAT TUBES LIMITED,,
475,532922,Edelweiss Financial Services Ltd.,,
476,531543,Jindal Worldwide Ltd.,,
477,532349,Transport Corporation of India Ltd,,
478,532181,Gujarat Mineral Development Corpora,,
479,523598,Shipping Corporation Of India Ltd,,
480,500135,EPL LIMITED,,
481,541578,Varroc Engineering Limited,,
482,532144,Welspun Corp Limited,,
483,543332,Meghmani Finechem Limited,,
484,519600,CCL Products (India) Ltd.,,
485,539118,VRL Logistics Limited,,
486,500380,JK Lakshmi Cement Limited,,
487,532439,OLECTRA GREENTECH LIMITED,,
488,538962,Minda Corporation Limited,,
489,500133,Esab India Ltd.,,
490,543321,Tatva Chintan Pharma Chem Limited,,
491,541233,Lemon Tree Hotels Limited,,
492,543213,ROSSARI BIOTECH LIMITED,,
493,543524,Rainbow Children's Medicare Limited,,
494,543276,Craftsman Automation Limited,,
495,500210,Ingersoll-Rand (India) Ltd.,,
496,524230,Rashtriya Chemicals & Fertilizers Limited,,
497,509966,"VST Industries Ltd.,",,
498,500249,KSB LIMITED,,
499,532627,Jaiprakash Power Ventures Limited,,
500,532859,Hinduja Global Solutions Limited,,
501,543270,MTAR Technologies Limited,,
502,523398,Johnson Controls-Hitachi Air Conditioning India Ltd.,,
503,533088,Mahindra Holidays & Resorts India Limited,,
504,532509,Suprajit Engineering Ltd.,,
505,532734,GODAWARI POWER AND ISPAT LTD.,,
506,500227,Jindal Poly Films Ltd.,,
507,509631,HEG Ltd.,,
508,532939,Reliance Power Limited,,
509,520051,"Jamna Auto Industries Ltd.,",,
510,543280,Nazara Technologies Limited,,
511,500878,"Ceat Ltd.,",,
512,505890,Kennametal India Limtied,,
513,500148,Uflex Limited,,
514,538730,PDS LIMITED,,
515,539807,INFIBEAM AVENUES LIMITED,,
516,543283,BARBEQUE-NATION HOSPITALITY LIMITED,,
517,531599,FDC Ltd.,,
518,500266,"Maharashtra Scooters Ltd.,",,
519,500355,Rallis India Ltd,,
520,519126,"Hindustan Foods Ltd.,",,
521,500292,HeidelbergCement  India Limited,,
522,540678,Cochin Shipyard Limited,,
523,506590,PCBL LIMITED,,
524,500265,Maharashtra Seamless Ltd.,,
525,538979,Greenlam Industries Ltd,,
526,500730,NOCIL Ltd,,
527,524735,Hikal Ltd.,,
528,532642,JSW Holdings Limited,,
529,524348,Aarti Drugs Limited,,
530,541700,TCNS Clothing Co. Limited,,
531,543325,Rolex Rings Limited,,
532,532915,Religare Enterprises Ltd,,
533,533248,Gujarat Pipavav Port Limited,,
534,505355,Nesco Ltd,,
535,505509,Responsive Industries Ltd,,
536,532301,Tata Coffee Ltd,,
537,543350,Vijaya Diagnostic Centre Limited,,
538,543428,Data Patterns (India) Limited,,
539,517146,Usha Martin Ltd.,,
540,543399,Tarsons Products Limited,,
541,540725,Share India Securities Limited,,
542,539787,HealthCare Global Enterprises Limited,,
543,500294,NCC Limited,,
544,543441,CMS Info Systems Limited,,
545,501455,Greaves Cotton Ltd.,,
546,532835,ICRA Limited,,
547,505726,IFB Industries Limited,,
548,540073,BLS International Services Ltd,,
549,532832,Indiabulls Real Estate Limited,,
550,539871,Thyrocare Technologies Limited,,
551,500110,Chennai Petroleum Corporation Ltd.,,
552,533033,ISGEC Heavy Engineering Limited,,
553,541956,IRCON International Ltd,,
554,541019,H.G. Infra Engineering Limited,,
555,543212,Borosil Limited,,
556,542665,Neogen Chemicals Limited,,
557,543530,Paradeep Phosphates Limited,,
558,532300,Wockhardt Ltd,,
559,517522,Rajratan Global Wire Ltd,,
560,504966,"Tinplate Company of India Ltd.,",,
561,540575,Star Cement Limited,,
562,530549,Shilpa Medicare Ltd.,,
563,543358,Sansera Engineering Limited,,
564,542484,Arvind Fashions Limited,,
565,543489,Gateway Distriparks Limited,,
566,532178,Engineers India Ltd.,,
567,533138,ASTEC LIFESCIENCES LIMITED,,
568,542867,CSB Bank Limited,,
569,543349,Ami Organics Limited,,
570,504614,Sarda Energy & Minerals Ltd,,
571,540047,Dilip Buildcon Limited,,
572,533169,MAN INFRACONSTRUCTION LIMITED,,
573,500307,"Nirlon Limited,",,
574,532612,Indoco Remedies Ltd.,,
575,526947,La Opala RG Ltd.,,
576,539844,Equitas Holdings Limited,,
577,540768,Mahindra Logistics Limited,,
578,533286,MOIL Limited,,
579,533104,Globus Spirits Limited,,
580,543417,RateGain Travel Technologies Limited,,
581,506655,"Sudarshan Chemical Indus. Ltd.,",,
582,507717,Dhanuka Agritech Ltd.,,
583,541195,Mishra Dhatu Nigam Limited,,
584,500097,Dalmia Bharat Sugar and Industries Ltd,,
585,532900,PAISALO DIGITAL LIMITED,,
586,533552,RUPA & COMPANY LIMITED,,
587,532259,Apar Industries Ltd,,
588,540025,Advanced Enzyme Technologies Limited,,
589,511431,Vakrangee Limited,,
590,532899,Kaveri Seed Company Ltd,,
591,533162,Hathway Cable & Datacom Limited,,
592,540749,MAS Financial Services Limited,,
593,543434,Supriya Lifescience Limited,,
594,543242,Hemisphere Properties India Limited,,
595,543265,RailTel Corporation of India Limited,,
596,543413,Tega Industries Limited,,
597,532960,Dhani Services Limited,,
598,500041,"Bannari Amman Sugars Ltd.,",,
599,543311,India Pesticides Limited,,
600,500184,Himadri Speciality Chemical Ltd.,,
601,500245,Kirloskar Ferrous Industries Ltd.,,
602,542141,Techno Electric & Engineering Company Limited,,
603,500123,Elantas Beck India Ltd,,
604,532742,PAUSHAK LIMITED (formerly known as Darshak Limited),,
605,543331,Meghmani Organics Limited,,
606,523385,Nilkamal Limited,,
607,532531,STRIDES PHARMA SCIENCE LIMITED,,
608,513010,TATA STEEL LONG PRODUCTS LIMITED,,
609,542904,Ujjivan Small Finance Bank Limited,,
610,512529,Sequent Scientific Limited,,
611,532811,Ahluwalia Contracts (India) Ltd,,
612,521016,Indo Count Industries Ltd,,
613,500390,Reliance Infrastructure Ltd,,
614,523261,Venky's (India) ltd.,,
615,508814,Cosmo First Limited,,
616,500285,SpiceJet Limited,,
617,542011,Garden Reach Shipbuilders & Engineers Limited,,
618,532189,India Tourism Development Corporati,,
619,540900,Newgen Software Technologies Limited,,
620,533095,Bengal & Assam Company Limited,,
621,543306,Dodla Dairy Limited,,
622,530007,JK Tyre & Industries Ltd.,,
623,543333,CarTrade Tech Limited,,
624,500413,"Thomas Cook (India) Ltd.,",,
625,532209,Jammu and Kashmir Bank Ltd.,,
626,504918,"Sandur Manganese & Iron Ores Ltd.,",,
627,532735,R Systems International Limited,,
628,541403,Dollar Industries Limited,,
629,505283,Kirloskar Pneumatic Co.Ltd.,,
630,508486,Hawkins Cooker Ltd.,,
631,542759,Spandana Sphoorty Financial Limited,,
632,519091,"Tasty Bite Eatables Ltd.,",,
633,500378,Jindal Saw Ltd.,,
634,509675,HIL Limited,,
635,534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,,
636,532527,ramkrishna forgings Ltd.,,
637,500101,"Arvind Ltd.,",,
638,522275,GE T&D India Limited,,
639,500201,India Glycols Ltd,,
640,523694,Apcotex Industries Limited,,
641,505700,"Elecon Engineering Co.Ltd.,",,
642,513023,NAVA LIMITED,,
643,526642,Mirza International  Limited,,
644,539177,Authum Investment & Infrastructure Limited,,
645,543415,Anand Rathi Wealth Limited,,
646,531548,Somany Ceramics Limited,,
647,532783,LT Foods Limited,,
648,531449,GRM Overseas Ltd.,,
649,526807,Seamec Ltd,,
650,532762,Action Construction Equipments Ltd.,,
651,500214,Ion Exchange (India) Ltd,,
652,535754,ORIENT CEMENT LIMITED,,
653,505010,"Automotive Axles Ltd.,",,
654,502090,Sagar Cements Ltd,,
655,500412,"Thirumalai Chemicals Ltd.,",,
656,530135,Optiemus Infracom Limited,,
657,513262,Steel Strips & Wheels Ltd,,
658,532772,DCB Bank Limited,,
659,532839,Dish TV India Limited,,
660,532967,KIRI INDUSTRIES LIMITED,,
661,532524,PTC India Ltd,,
662,526227,Filatex India Ltd.,,
